0,1
Who is managing traffic rules?,"Traffic rules are managed by the Government of India. There is a governing body that monitors and manage the rules.Any violations on the rule is a Punishable act.
"
"Why Seat belt is important?","If you are new to driving, get in the habit of securing the seat belt as the first thing you do upon entering your vehicle. Doing so will not only help you avoid traffic violations, but it will also save your life in case of mishaps.If you are caught driving without this seat belt around your waist and chest, traffic cops can fine you up to Rs.1000 for this violation on the spot.So, be a hero and wear your seat belt!
"
"Why Helmet is important?","One must wear a helmet at all times while riding a two-wheeler. One distinction to notice here is that the law states that all individuals on a two-wheeler must put on helmets and not just the driver.Penalties for non-compliance with this rule come in the form of fines of up to Rs.1000.
"
"penalty for no helmet?","One must wear a helmet at all times while riding a two-wheeler.Penalties for non-compliance with this rule come in the form of fines of up to Rs.1000.
"
"what is the penalty for Mobile phone while driving?","drivers can only use their phones as a navigational tool while on the wheel.If you are caught using the phone in any other fashion while driving, get ready to pay a fine of up to Rs.5000. A one-year prison sentence also applies to such traffic violators.
"
"what is the charge/penalty for Over speeding?","Drivers should never exceed the recommended speed guidelines on roads, as doing so will draw the ire of traffic cops.As per a report, 66% of accidents in 2018 were caused due to speeding on Indian roads.The fine charged for speeding varies as per the size of your vehicle, typically ranging between Rs.1000 and Rs.2000.  
"
"what is the penalty for jumping the red lights?","If you do not intend to bear penalties of up to Rs.5000 and a one-year prison sentence, ensure you stick to the various traffic signals during a drive, even if you are in a hurry. Remember the old saying, better late than never.
"
"What are the precautions for driving in rain?","Roads become slippery in rainy season, so, every step should be taken to avoid vehicle from slipping. Tips to be kept in mind include:

Increase the following distance
Apply brakes cautiously
Use indicators and head lights wisely
"
"What are the precautions for driving in hills?","The following points should be kept in mind while driving in a hilly region:

Drive slowly
Remove frost from the front and side mirrors
Apply brakes cautiously
"
"precautions on night driving?","The main problem encountered during night driving is glarying of eyes due to lights:

Don't overuse headlights
Avoid using any other light in your vehicle
Do not over speed
"
"What is the effect of alcohol during driving?","The drugs alter the driving ability and prolong the reaction time threatening the safety."
"How does vision affects driving?","Inability to see on the roads while driving may pose threat to the driver safety."
"What is the penalty for drinking alcohol?","The punishable act that can charge upto 10000 "
